ID_Number_18,Name_nol,Address_1to7,Profession_1to8,Birth Year_1950to2021,Birth Month_1to12,Birth Day_1to31,Medical_Risk_Status_0to3,Treatment_Type_1to3
908128000330180000,nUZjT,1,5,2014,8,15,2,2
149613343807868670,lneEJzI,1,7,1970,10,27,3,2
447910747653804740,QYYzxWt,5,5,1964,9,4,0,2
169692385429516400,uhRs,2,6,1996,6,4,1,2
907246470544487300,erBnr,3,7,1984,6,6,0,2
920250341203063700,jHvjlb,6,3,1957,8,4,0,2
773708681482821800,CSQxi,4,1,2017,2,27,1,2
752195165981538600,FqzD,2,6,1997,5,14,0,2
695531763811595800,JRNJ,5,4,2006,12,10,0,2
584514724905602600,TSAnKWx,1,3,2002,10,16,0,2
554343325155787200,CmKqf,7,4,2018,9,5,2,2
168213365296833200,HQEknJD,3,5,1988,12,27,1,2
453589312918484200,VxXAZYU,4,7,1990,4,23,2,2
586284907418303200,xsKamc,6,4,1986,10,19,1,2
652240875945426400,DJpGld,5,4,1982,5,28,1,2
567226545861922200,XCVXU,7,7,1964,4,10,1,2
936280969274230300,fYFsLbt,6,2,1958,7,12,3,2
769742289884015900,Vcrgp,3,4,2019,10,17,3,2
610056890896521500,gcBjCM,6,7,2016,7,29,1,2
230528290197253250,ecQwo,7,8,2011,6,5,3,2
387135758576914700,NBaKGMh,5,7,2020,10,8,2,2
326150369062088450,eilJTS,4,5,1989,8,5,0,2
332024333043955260,uQhmfX,2,3,1962,10,17,1,2
418285589199513200,GddoGV,3,8,1995,9,10,0,2
567790607921779140,WzRTsCx,1,3,2005,12,13,2,2
184256899612955740,FqzxMY,5,7,1971,6,22,1,2
167122164508327840,HWlCN,7,6,1952,9,15,1,2
389554192870855360,QCrBRK,1,1,2016,9,23,0,2
472544486750848600,KgCH,4,6,1958,3,26,2,2
295425525656901300,wpxwUL,3,7,1968,7,21,0,2
813682906003668900,tHscAJ,4,7,1957,5,29,3,2
283703887322917570,qoYsNap,2,5,2016,2,24,0,2
936618151445873000,LXhbb,6,1,1963,5,17,2,2
370640747295692540,VrQt,6,1,2015,3,24,2,2
541215071664191800,KCeJSJ,3,5,1975,9,20,0,2
708097675209865000,mUSLu,5,2,1996,5,6,0,2
795444368547760000,oFPgO,2,7,1955,11,11,0,2
223094591079279780,APuMBi,5,4,1991,2,17,2,2
392463125451467900,sXcNy,7,8,1975,1,30,0,2
686234934837557400,wlRes,4,2,1992,1,10,2,2
832189304358325900,GaaDcId,6,5,2020,9,18,0,2
680271352385170800,GeNj,3,6,1959,8,7,0,2
627240886446088600,uvLPO,2,5,1955,1,20,3,2
924533481779508400,jKfEg,3,6,1998,1,15,0,2
537026866618543900,ivMmO,6,5,1980,6,14,0,2
491921473573893300,OAPb,5,8,1969,6,4,0,2
676097276085056400,uYWoW,2,1,1975,7,25,2,2
280925195058807740,kyDv,3,1,1994,7,9,2,2
555689157056622200,PfXdCj,7,3,2015,10,1,0,2
527267314679920700,NtlIEC,6,7,1985,7,4,1,2
613579873740673000,SVtQ,6,7,2000,2,6,0,2
147077489946968860,jNdPD,6,2,2018,8,7,0,2
817362995259463800,Dnusd,7,4,1964,5,18,1,2
974233678239397800,tTAl,7,2,2010,7,27,3,2
841033214889466800,geAad,7,3,2014,4,23,2,2
540964509337209150,RcWy,7,3,2003,8,3,1,2
381009669043123700,VKXlnh,4,8,1979,4,3,0,2
986448040883988100,UDBSTNw,4,8,1980,10,4,2,2
505156096350401660,XZvZHHi,6,2,2010,3,23,0,2
936870212038047600,JyjDE,1,7,1977,12,17,2,2
376737048174254600,qpYzWD,6,7,2015,3,19,1,2
590683693531900700,XcZfrc,2,6,2007,9,5,0,2
183191782049834750,HIrgDK,3,2,1964,8,22,3,2
445483840513043140,kNLQJ,1,6,1982,12,6,3,2
132897619204595680,DtvKV,5,7,1988,1,12,3,2
270146612403914340,HKcvmV,2,4,1989,7,14,0,2
989033846487291100,xYLde,2,7,1976,10,27,2,2
216154036624357120,AuJg,2,8,1990,4,20,1,2
457735381089150900,OYYUl,7,6,1987,7,20,1,2
508889566175639600,jprkE,2,6,1991,7,18,1,2
146492221462540320,rXPjAbE,7,7,2016,2,29,1,2
315983749995939460,iIxyfT,3,8,1993,12,5,1,2
649742828030139100,GRqb,2,6,1999,4,14,2,2
934849849203601500,oAvit,3,7,2001,3,23,2,2
884720975812524500,tXyRrR,5,4,1977,7,1,1,2
246093130041845150,pRbPkb,7,3,1982,7,12,0,2
729892581049352800,ObzeP,7,1,1979,7,12,1,2
313824130850844100,pOxus,3,7,1963,9,11,0,2
545803550933487740,rfLhs,6,1,2018,1,7,2,2
174322393047623360,rgyiNl,1,3,1992,1,7,1,2
237669125408865500,OloME,3,8,1968,9,25,1,2
797171871457248900,twjgc,7,7,2007,11,19,0,2
740365265100263000,ibyCkIE,6,8,1995,8,15,3,2
737879566033370800,OAtLJ,3,3,1956,1,1,3,2
862096388754435000,WhwtF,5,6,2001,3,30,0,2
528015628363937150,mpdyeh,3,7,1959,4,5,0,2
888472604821436200,bXJoF,4,3,1976,6,26,2,2
828192381258122600,EAEdiT,6,5,1993,9,22,3,2
895274523645639400,lWhegh,6,2,2000,3,19,2,2
178370061237365000,xsxFtZ,4,8,1952,12,17,2,2
673409712291322600,lYNFdz,2,1,1979,5,24,1,2
733973381225951000,qmdVtRY,2,6,1992,11,27,3,2
550965402880683500,PtLdOk,6,7,1982,10,13,3,2
482723531359806660,DsSDy,4,3,2001,11,31,2,2
715994673967361400,xHOm,6,7,1973,4,10,1,2
553708258527331100,sVyH,2,5,1986,4,12,2,2
137617144500836740,puEHy,1,2,1952,4,19,2,2
423770517832599550,kRGSYS,5,7,2019,5,4,3,2
144365846621803940,FedF,3,1,1983,6,3,0,2
928062732820399100,lSYi,6,8,1987,6,3,3,2
877319332025945200,pUUfDB,5,5,1970,3,10,1,2
372461763955652740,hmMbXi,1,6,2015,9,9,0,2
687979557993821800,RYTvy,7,3,1977,12,12,1,2
334852871857583500,WDPc,4,7,1972,5,6,0,2
910430525895208100,TsMY,3,2,1974,12,7,2,2
741320690372958700,EmmM,5,1,1958,6,6,1,2
453499488043598850,ZGfuE,5,5,1969,12,15,3,2
829914194741286400,MvnWsa,7,6,1956,12,16,1,2
272074499167501920,FgAv,5,1,2018,8,28,3,2
566962846997194000,etgNNj,6,2,1992,6,14,2,2
763617460569366800,LHdX,4,6,1956,7,6,3,2
867853412195108900,CZJRy,7,8,2011,2,8,3,2
382789206807501600,vaoLrnK,7,4,1984,5,14,2,2
419976873905397950,TFdE,6,5,2019,12,17,2,2
338581964024342600,acOnF,6,2,1962,3,6,0,2
326136512309312830,qwLv,3,7,1976,12,9,3,2
461492552002891900,osImR,7,8,1957,3,9,3,2
576536082010716200,HJPkfh,3,8,2016,6,15,1,2
606352723785676000,ZCXN,1,1,2004,3,3,1,2
717118640453554700,XagEQ,1,7,2010,1,30,1,2
727397366636432800,eYGcNg,4,1,1973,2,14,3,2
181228348053991800,Uxebf,7,4,1961,10,28,0,2
673521054978482400,aixLQa,5,7,1952,7,16,3,2
405963279376737800,aNsMs,7,1,1996,2,23,0,2
733500733668916000,GJMoOnD,1,3,1953,11,6,3,2
858635232294909700,IWnE,5,6,2011,1,16,2,2
371386379189789300,ziYMpa,7,7,2014,8,13,2,2
550051399506628540,YkESr,2,7,1955,5,14,1,2
123563814722001550,tgLDK,6,6,1950,6,26,3,2
534636655659414850,gODSXD,7,7,1998,6,22,0,2
420901320711709600,WcIsn,2,3,1991,7,26,1,2
671300886431708900,AwBml,1,5,1963,12,22,0,2
314122809702530500,QpavdI,6,3,2016,8,13,3,2
880784879135899300,zCihl,2,2,2000,10,15,3,2
839721021661534800,YIssV,4,6,1950,6,30,0,2
670804694108665000,rUYeB,2,5,1989,12,17,3,2
971015478996560000,rPPU,6,8,1955,5,7,3,2
990649962495081100,UqWri,4,1,1964,4,3,0,2
607840628526173400,xHRfgsm,5,1,1981,11,11,0,2
987308767833747000,PfUo,6,8,1972,12,16,3,2
144488431117497380,ddtUm,1,7,1969,1,2,2,2
689561900799162600,nGScb,1,5,1978,1,5,1,2
893462784495204700,XeMd,6,4,1960,1,30,2,2
659844593796879100,pBVAnG,3,3,2017,6,4,1,2
357967345323413600,EwFjk,6,7,1982,4,29,1,2
817596678109839600,vxXHs,1,1,2020,10,4,2,2
527815476898103940,RdRg,4,5,1966,7,31,2,2
365206645685248060,uxeJhx,1,2,2011,9,22,0,2
565252760006114800,ExeLad,3,6,1950,1,11,1,2
788012698059901600,WqIoIv,3,4,1981,1,20,0,2
330373064172454140,cSHW,5,8,1986,1,26,3,2
464513087528757760,yzbJbw,2,4,1997,8,21,3,2
