ID_Number_18,Name_nol,Address_1to7,Profession_1to8,Birth Year_1950to2021,Birth Month_1to12,Birth Day_1to31,Medical_Risk_Status_0to3,Treatment_Type_1to3
533015586365945660,DoZwRv,7,7,2018,9,16,1,3
535569727653637500,Gvkbs,6,4,1953,4,25,0,3
713669750071130800,eBNw,4,7,2017,4,11,1,3
934512256947346000,KqljJd,5,2,2001,2,24,3,3
973715438786894100,AkmvN,4,8,2003,3,12,2,3
791919615026563500,CJmVru,6,4,2014,6,12,1,3
545713988202624000,pKPN,3,2,1955,11,6,2,3
510334901115857100,drAW,3,4,1967,5,13,2,3
146528197638690460,oRttI,2,3,2007,1,14,0,3
703091366239823400,xezlDK,1,4,1996,10,14,2,3
947101966664195100,aTBnTDd,2,4,1977,12,27,0,3
964303314639255400,Mcoxs,2,6,2017,4,20,2,3
480657832068391200,FThsngE,4,5,1954,6,12,1,3
829615234257653400,BvcETh,3,3,1992,7,12,2,3
530866236519068500,NeKCKq,6,3,1981,9,10,1,3
629024690808728300,gZhdgS,1,5,1970,8,6,2,3
990619830181822200,ZzeMat,7,4,2012,3,31,1,3
659401494753547000,AeTjta,3,5,1981,11,29,0,3
946973768179305000,jlpsfA,6,4,1958,9,22,1,3
502368404227308900,byEmLX,6,1,1984,6,20,1,3
108615257451310750,CLaRq,7,1,1975,9,19,3,3
270779800019226980,vvGqwp,2,3,1969,3,15,0,3
969662940315902200,vbTwZG,1,8,2002,6,15,3,3
285880737565457820,TpxzJXo,2,3,1969,10,19,2,3
250094598648138340,ROvvDEm,7,2,1995,8,30,1,3
860473072482273000,WeDzr,3,5,1985,5,11,2,3
539795984444208450,BpadXy,4,3,1981,5,7,2,3
432786474889144300,XLVVI,3,2,1965,4,3,3,3
541507409606128960,BLRKbc,1,6,1992,1,16,2,3
392774482979439170,ARIaiG,3,2,1972,4,5,3,3
718539932742714900,GtcV,7,3,2020,10,9,1,3
984548781043849900,dIHGKL,2,5,2012,7,24,3,3
658380346978083300,siuxM,5,1,1985,1,6,0,3
955695944768376700,mdLdw,3,2,1991,3,4,3,3
980741113773547100,mdCiIIa,5,6,1962,1,25,0,3
447443002671934660,eXSsl,3,1,1964,7,6,3,3
111730558983981620,POakz,3,8,1989,2,5,3,3
528154905838891840,InKP,1,3,1954,11,31,2,3
458243054733611650,xCiB,4,3,1951,1,4,1,3
486269046016968770,mMZOZsQ,4,6,1991,1,22,2,3
