ID_Number_18,Name_nol,Address_1to7,Profession_1to8,Birth Year_1950to2021,Birth Month_1to12,Birth Day_1to31,Medical_Risk_Status_0to3,Treatment_Type_1to3
1.98E+17,nUZjT,1,5,2014,8,15,2,2
3.88E+17,lneEJzI,1,7,1970,10,27,3,2
7.44E+17,QYYzxWt,5,5,1964,9,4,0,2
9.91E+17,uhRs,2,6,1996,6,4,1,2
3.72E+17,erBnr,3,7,1984,6,6,0,2
7.94E+17,jHvjlb,6,3,1957,8,4,0,2
2.05E+17,CSQxi,4,1,2017,2,27,1,2
9.94E+17,FqzD,2,6,1997,5,14,0,2
1.39E+17,JRNJ,5,4,2006,12,10,0,2
9.43E+17,TSAnKWx,1,3,2002,10,16,0,2
6.50E+17,CmKqf,7,4,2018,9,5,2,2
3.00E+16,HQEknJD,3,5,1988,12,27,1,2
2.92E+17,VxXAZYU,4,7,1990,4,23,2,2
7.89E+17,xsKamc,6,4,1986,10,19,1,2
6.87E+17,DJpGld,5,4,1982,5,28,1,2
9.52E+17,XCVXU,7,7,1964,4,10,1,2
7.90E+17,fYFsLbt,6,2,1958,7,12,3,2
8.65E+17,Vcrgp,3,4,2019,10,17,3,2
2.35E+16,gcBjCM,6,7,2016,7,29,1,2
4.44E+17,ecQwo,7,8,2011,6,5,3,2
9.39E+16,NBaKGMh,5,7,2020,10,8,2,2
6.77E+17,eilJTS,4,5,1989,8,5,0,2
7.98E+16,uQhmfX,2,3,1962,10,17,1,2
6.21E+17,GddoGV,3,8,1995,9,10,0,2
7.98E+17,WzRTsCx,1,3,2005,12,13,2,2
4.73E+17,FqzxMY,5,7,1971,6,22,1,2
8.94E+17,HWlCN,7,6,1952,9,15,1,2
4.17E+17,QCrBRK,1,1,2016,9,23,0,2
4.49E+17,KgCH,4,6,1958,3,26,2,2
5.07E+17,wpxwUL,3,7,1968,7,21,0,2
3.74E+17,tHscAJ,4,7,1957,5,29,3,2
1.62E+17,qoYsNap,2,5,2016,2,24,0,2
3.89E+17,LXhbb,6,1,1963,5,17,2,2
2.06E+17,VrQt,6,1,2015,3,24,2,2
4.17E+16,KCeJSJ,3,5,1975,9,20,0,2
1.96E+17,mUSLu,5,2,1996,5,6,0,2
8.20E+17,oFPgO,2,7,1955,11,11,0,2
7.29E+17,APuMBi,5,4,1991,2,17,2,2
5.00E+17,sXcNy,7,8,1975,1,30,0,2
5.75E+16,wlRes,4,2,1992,1,10,2,2
8.50E+17,GaaDcId,6,5,2020,9,18,0,2
8.22E+17,GeNj,3,6,1959,8,7,0,2
4.43E+16,uvLPO,2,5,1955,1,20,3,2
2.35E+16,jKfEg,3,6,1998,1,15,0,2
5.01E+17,ivMmO,6,5,1980,6,14,0,2
6.45E+17,OAPb,5,8,1969,6,4,0,2
6.17E+17,uYWoW,2,1,1975,7,25,2,2
1.70E+17,kyDv,3,1,1994,7,9,2,2
4.71E+17,PfXdCj,7,3,2015,10,1,0,2
8.13E+17,NtlIEC,6,7,1985,7,4,1,2
4.21E+17,SVtQ,6,7,2000,2,6,0,2
3.87E+17,jNdPD,6,2,2018,8,7,0,2
8.99E+17,Dnusd,7,4,1964,5,18,1,2
8.34E+17,tTAl,7,2,2010,7,27,3,2
6.05E+17,geAad,7,3,2014,4,23,2,2
9.71E+16,RcWy,7,3,2003,8,3,1,2
7.71E+17,VKXlnh,4,8,1979,4,3,0,2
5.61E+17,UDBSTNw,4,8,1980,10,4,2,2
2.34E+17,XZvZHHi,6,2,2010,3,23,0,2
6.31E+17,JyjDE,1,7,1977,12,17,2,2
1.89E+17,qpYzWD,6,7,2015,3,19,1,2
9.35E+16,XcZfrc,2,6,2007,9,5,0,2
