ID_Number_18,Name_nol,Address_1to7,Profession_1to8,Birth Year_1950to2021,Birth Month_1to12,Birth Day_1to31,Medical_Risk_Status_0to3,Treatment_Type_1to3
5.33016E+17,DoZwRv,7,7,2018,9,16,1,3
5.3557E+17,Gvkbs,6,4,1953,4,25,0,3
7.1367E+17,eBNw,4,7,2017,4,11,1,3
9.34512E+17,KqljJd,5,2,2001,2,24,3,3
9.73715E+17,AkmvN,4,8,2003,3,12,2,3
7.9192E+17,CJmVru,6,4,2014,6,12,1,3
5.45714E+17,pKPN,3,2,1955,11,6,2,3
5.10335E+17,drAW,3,4,1967,5,13,2,3
1.46528E+17,oRttI,2,3,2007,1,14,0,3
7.03091E+17,xezlDK,1,4,1996,10,14,2,3
9.47102E+17,aTBnTDd,2,4,1977,12,27,0,3
9.64303E+17,Mcoxs,2,6,2017,4,20,2,3
4.80658E+17,FThsngE,4,5,1954,6,12,1,3
8.29615E+17,BvcETh,3,3,1992,7,12,2,3
5.30866E+17,NeKCKq,6,3,1981,9,10,1,3
6.29025E+17,gZhdgS,1,5,1970,8,6,2,3
9.9062E+17,ZzeMat,7,4,2012,3,31,1,3
6.59401E+17,AeTjta,3,5,1981,11,29,0,3
9.46974E+17,jlpsfA,6,4,1958,9,22,1,3
5.02368E+17,byEmLX,6,1,1984,6,20,1,3
1.08615E+17,CLaRq,7,1,1975,9,19,3,3
2.7078E+17,vvGqwp,2,3,1969,3,15,0,3
9.69663E+17,vbTwZG,1,8,2002,6,15,3,3
2.85881E+17,TpxzJXo,2,3,1969,10,19,2,3
2.50095E+17,ROvvDEm,7,2,1995,8,30,1,3
8.60473E+17,WeDzr,3,5,1985,5,11,2,3
5.39796E+17,BpadXy,4,3,1981,5,7,2,3
4.32786E+17,XLVVI,3,2,1965,4,3,3,3
5.41507E+17,BLRKbc,1,6,1992,1,16,2,3
3.92774E+17,ARIaiG,3,2,1972,4,5,3,3
7.1854E+17,GtcV,7,3,2020,10,9,1,3
9.84549E+17,dIHGKL,2,5,2012,7,24,3,3
6.5838E+17,siuxM,5,1,1985,1,6,0,3
9.55696E+17,mdLdw,3,2,1991,3,4,3,3
9.80741E+17,mdCiIIa,5,6,1962,1,25,0,3
4.47443E+17,eXSsl,3,1,1964,7,6,3,3
1.11731E+17,POakz,3,8,1989,2,5,3,3
5.28155E+17,InKP,1,3,1954,11,31,2,3
4.58243E+17,xCiB,4,3,1951,1,4,1,3
4.86269E+17,mMZOZsQ,4,6,1991,1,22,2,3
